,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,prev_sold_year
27820,for_sale,3.0,1.0,3.93,Willington,Connecticut,6279.0,1572.0,,225000.0,
27821,for_sale,4.0,3.0,2.34,Coventry,Connecticut,6238.0,3320.0,2021-06-01,579900.0,2021.0
27823,for_sale,1.0,1.0,,Willington,Connecticut,6279.0,680.0,2019-08-16,65000.0,2019.0
27826,for_sale,2.0,1.0,0.91,East Windsor,Connecticut,6016.0,960.0,2012-06-06,215000.0,2012.0
27828,for_sale,2.0,1.0,0.36,Vernon,Connecticut,6066.0,860.0,2016-09-02,144900.0,2016.0
27829,for_sale,3.0,2.0,0.19,Manchester,Connecticut,6040.0,1280.0,,174900.0,
27830,for_sale,4.0,2.0,0.38,East Windsor,Connecticut,6016.0,1617.0,1999-09-30,289900.0,1999.0
27831,for_sale,4.0,2.0,2.05,Manchester,Connecticut,6042.0,2078.0,,245000.0,
27834,for_sale,2.0,2.0,,South Windsor,Connecticut,6074.0,1168.0,2020-12-28,172500.0,2020.0
27836,for_sale,3.0,3.0,0.92,Ellington,Connecticut,6029.0,1960.0,2010-06-28,349900.0,2010.0
27838,for_sale,3.0,1.0,1.43,East Windsor,Connecticut,6016.0,1351.0,2009-06-05,239900.0,2009.0
27839,for_sale,3.0,2.0,0.87,Vernon,Connecticut,6066.0,1850.0,2015-11-09,299900.0,2015.0
27845,for_sale,4.0,3.0,1.64,Stafford,Connecticut,6076.0,2056.0,2006-07-11,399900.0,2006.0
27847,for_sale,4.0,2.0,0.4,Enfield,Connecticut,6082.0,1296.0,,249900.0,
27850,for_sale,3.0,2.0,0.51,Manchester,Connecticut,6040.0,1828.0,2000-07-31,349900.0,2000.0
27851,for_sale,3.0,1.0,0.23,Enfield,Connecticut,6082.0,1220.0,2003-11-14,249900.0,2003.0
27852,for_sale,3.0,1.0,0.69,Stafford,Connecticut,6076.0,1192.0,2003-11-17,300000.0,2003.0
27853,for_sale,3.0,2.0,0.21,Manchester,Connecticut,6042.0,1660.0,,279900.0,
27857,for_sale,3.0,2.0,0.26,Ellington,Connecticut,6029.0,1174.0,2008-07-09,248900.0,2008.0
27859,for_sale,3.0,1.0,0.46,Manchester,Connecticut,6040.0,1120.0,,239900.0,
27981,for_sale,3.0,1.0,0.38,Windsor Locks,Connecticut,6096.0,1140.0,,194900.0,
28138,for_sale,,,3.68,Andover,Connecticut,6232.0,,,52000.0,
28140,for_sale,,,1.91,East Windsor,Connecticut,6088.0,,,49000.0,
28143,for_sale,,,0.92,Stafford,Connecticut,6076.0,,2007-01-12,29900.0,2007.0
28145,for_sale,,,1.48,Tolland,Connecticut,6084.0,,,39900.0,
28146,for_sale,,,5.1,Bolton,Connecticut,6043.0,,2013-12-27,69900.0,2013.0
28147,for_sale,,,11.87,East Windsor,Connecticut,6016.0,,,269900.0,
28148,for_sale,,,17.04,Ellington,Connecticut,6029.0,,,199000.0,
28149,for_sale,,,2.9,Stafford,Connecticut,6076.0,,2014-06-19,58000.0,2014.0
28152,for_sale,,,49.5,Ellington,Connecticut,6029.0,,,325000.0,
28153,for_sale,,,11.1,Willington,Connecticut,6279.0,,2008-07-16,82900.0,2008.0
28156,for_sale,,,5.88,Somers,Connecticut,6071.0,,2017-01-03,89900.0,2017.0
28158,for_sale,,,4.43,Tolland,Connecticut,6084.0,,,85000.0,
28161,for_sale,,,8.8,Ellington,Connecticut,6029.0,,2004-06-24,154900.0,2004.0
28164,for_sale,,,2.44,Hebron,Connecticut,6231.0,,,79000.0,
28166,for_sale,,,1.05,Ellington,Connecticut,6029.0,,2019-06-12,134500.0,2019.0
28167,for_sale,,,3.79,South Windsor,Connecticut,6074.0,,,100000.0,
28169,for_sale,,,2.08,Tolland,Connecticut,6084.0,,,85000.0,
28173,for_sale,,,1.91,Tolland,Connecticut,6084.0,,,85000.0,
28176,for_sale,,,1.74,Tolland,Connecticut,6084.0,,,111000.0,
28178,for_sale,4.0,4.0,0.55,Manchester,Connecticut,6040.0,2800.0,,449900.0,
28185,for_sale,,,150.59,Stafford,Connecticut,6076.0,,,799900.0,
28186,for_sale,4.0,1.0,,Hebron,Connecticut,6248.0,2239.0,,239900.0,
28191,for_sale,,,3.8,Enfield,Connecticut,6082.0,,,79900.0,
28192,for_sale,,,5.52,Tolland,Connecticut,6084.0,,,90000.0,
28194,for_sale,2.0,2.0,,Enfield,Connecticut,6082.0,1554.0,,449900.0,
28195,for_sale,2.0,2.0,,Enfield,Connecticut,6082.0,1554.0,,479900.0,
28196,for_sale,2.0,2.0,,Enfield,Connecticut,6082.0,1554.0,,484900.0,
28197,for_sale,,,5.14,Tolland,Connecticut,6084.0,,,90000.0,
28198,for_sale,,,5.28,Tolland,Connecticut,6084.0,,,95000.0,
28200,for_sale,,,5.13,Tolland,Connecticut,6084.0,,,97500.0,
