,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
1,4.0,3.0,2.34,6238.0,3320.0,2021-06-01,579900.0
2,1.0,1.0,0.17,6279.0,680.0,2019-08-16,65000.0
4,2.0,1.0,0.36,6066.0,860.0,2016-09-02,144900.0
8,2.0,2.0,0.17,6074.0,1168.0,2020-12-28,172500.0
31,3.0,2.0,5.88,6071.0,1152.0,2017-01-03,89900.0
35,3.0,2.0,1.05,6029.0,1152.0,2019-06-12,134500.0
83,3.0,2.0,1.39,6098.0,1152.0,2020-12-16,64000.0
88,3.0,2.0,1.19,6026.0,1152.0,2017-09-06,125000.0
91,4.0,3.0,3.35,6063.0,2626.0,2022-01-04,556000.0
99,5.0,4.0,2.06,6078.0,3323.0,2018-07-02,539000.0
132,2.0,1.0,0.16,6098.0,500.0,2017-10-16,169900.0
138,3.0,1.0,0.14,6098.0,1170.0,2021-04-29,279000.0
140,1.0,1.0,0.17,6096.0,638.0,2018-09-04,115000.0
143,3.0,2.0,1.21,6093.0,1152.0,2021-04-08,69000.0
150,3.0,3.0,6.92,6063.0,2462.0,2022-01-04,493000.0
151,3.0,1.0,0.06,6082.0,1209.0,2021-08-05,189900.0
161,3.0,2.0,0.37,6082.0,1152.0,2016-11-28,49900.0
164,4.0,4.0,2.31,6019.0,2652.0,2019-05-09,649900.0
168,3.0,2.0,6.53,6021.0,2532.0,2016-05-13,339900.0
175,4.0,2.0,0.17,6082.0,1655.0,2020-12-28,199900.0
177,2.0,1.0,0.43,6098.0,720.0,2019-08-30,189000.0
181,3.0,1.0,0.62,6035.0,1040.0,2021-12-29,250000.0
183,2.0,3.0,0.17,6082.0,1392.0,2017-12-26,215000.0
184,3.0,3.0,2.17,6060.0,2457.0,2021-04-05,625000.0
190,3.0,3.0,1.0,6082.0,2010.0,2022-01-06,495000.0
195,3.0,2.0,0.12,6081.0,1416.0,2019-02-25,219900.0
201,3.0,4.0,3.75,6063.0,3482.0,2017-12-12,539900.0
208,4.0,3.0,2.11,6063.0,2626.0,2022-01-04,569000.0
211,3.0,2.0,0.12,6082.0,1479.0,2016-07-12,290000.0
212,3.0,2.0,0.22,6082.0,1428.0,2019-07-29,249900.0
216,3.0,1.0,0.28,6082.0,968.0,2018-06-18,260000.0
218,5.0,2.0,0.28,6098.0,2500.0,2020-11-06,249500.0
219,3.0,1.0,0.35,6096.0,996.0,2021-12-03,269900.0
220,3.0,2.0,0.56,6082.0,1480.0,2016-04-01,339999.0
223,3.0,2.0,0.14,6082.0,1456.0,2020-08-27,295000.0
229,4.0,2.0,0.41,6081.0,1609.0,2017-05-17,339900.0
230,3.0,2.0,0.48,6026.0,1470.0,2019-04-30,279900.0
244,2.0,1.0,5.95,6021.0,952.0,2021-02-09,199900.0
248,3.0,2.0,2.59,6098.0,1606.0,2017-10-27,349900.0
251,3.0,2.0,0.34,6026.0,1512.0,2016-07-28,295000.0
253,3.0,3.0,0.48,6096.0,1708.0,2018-03-23,335000.0
255,4.0,5.0,2.03,6035.0,3992.0,2018-04-30,729900.0
258,4.0,1.0,0.29,6082.0,1512.0,2019-12-23,280000.0
267,3.0,2.0,0.35,6078.0,1864.0,2021-12-01,359800.0
272,3.0,3.0,1.03,6078.0,1310.0,2017-12-18,375000.0
274,4.0,2.0,0.3,6082.0,1819.0,2018-12-20,284900.0
276,4.0,3.0,1.94,6060.0,3000.0,2021-04-19,625000.0
282,3.0,2.0,0.46,6082.0,1236.0,2019-01-15,289900.0
284,4.0,2.0,0.69,6082.0,1974.0,2017-08-18,375000.0
285,3.0,2.0,0.63,6082.0,1308.0,2021-10-13,269900.0
296,2.0,2.0,0.28,6096.0,947.0,2021-11-01,247900.0
297,3.0,1.0,0.22,6096.0,1063.0,2020-07-27,204900.0
298,3.0,1.0,0.34,6082.0,1008.0,2017-10-30,225000.0
301,5.0,2.0,0.17,6082.0,1980.0,2019-12-17,289000.0
303,3.0,2.0,1.6,6035.0,1152.0,2016-03-18,690000.0
311,4.0,4.0,2.0,6060.0,2371.0,2018-12-19,475000.0
316,4.0,3.0,2.98,6058.0,2755.0,2016-05-05,985000.0
320,3.0,2.0,2.85,6093.0,2184.0,2020-06-25,559000.0
326,4.0,2.0,0.34,6081.0,1226.0,2021-05-03,319700.0
332,5.0,2.0,0.06,6082.0,1824.0,2022-01-13,229900.0
341,3.0,3.0,1.07,6078.0,1630.0,2021-03-31,419900.0
344,4.0,2.0,0.22,6082.0,1536.0,2019-10-17,245000.0
345,4.0,2.0,0.19,6082.0,1982.0,2022-01-19,269900.0
349,3.0,3.0,0.15,6062.0,2337.0,2020-09-17,379900.0
359,4.0,3.0,2.07,6057.0,2500.0,2021-05-14,549900.0
368,4.0,3.0,1.17,6092.0,2500.0,2021-05-19,499900.0
395,4.0,3.0,2.27,6019.0,3011.0,2020-09-10,649000.0
407,4.0,4.0,1.06,6032.0,3753.0,2020-07-07,849900.0
432,3.0,2.0,0.44,6057.0,1491.0,2020-10-13,224550.0
439,4.0,2.0,1.23,6013.0,1613.0,2021-03-01,369000.0
441,3.0,3.0,1.52,6013.0,1402.0,2019-07-08,449600.0
444,3.0,2.0,1.9,6019.0,1152.0,2021-10-13,178000.0
454,3.0,2.0,6.53,6019.0,1152.0,2021-03-01,184900.0
468,4.0,3.0,1.62,6019.0,2893.0,2020-01-13,450000.0
471,4.0,3.0,0.57,6070.0,2000.0,2018-07-19,399900.0
482,3.0,3.0,0.94,6002.0,2222.0,2018-09-13,379900.0
484,3.0,3.0,1.14,6070.0,2219.0,2018-04-12,400000.0
485,3.0,2.0,0.17,6032.0,1518.0,2016-04-15,259900.0
487,2.0,4.0,0.17,6070.0,1780.0,2020-10-05,374900.0
488,4.0,2.0,0.48,6001.0,1729.0,2019-05-23,400000.0
499,4.0,2.0,1.7,6057.0,1673.0,2018-07-09,309900.0
501,4.0,2.0,0.32,6062.0,1593.0,2017-06-26,244900.0
502,3.0,2.0,0.17,6085.0,1428.0,2018-08-01,229000.0
503,2.0,2.0,0.66,6001.0,1824.0,2018-06-25,399900.0
511,3.0,4.0,0.17,6019.0,1638.0,2021-11-03,269900.0
513,4.0,4.0,0.69,6032.0,3096.0,2016-12-14,575000.0
514,3.0,2.0,0.47,6062.0,1130.0,2022-02-23,239900.0
