,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,prev_sold_year
24231,for_sale,2.0,1.0,0.34,Agawam,Massachusetts,1001.0,676.0,,180000.0,
24232,for_sale,,,3.41,Agawam,Massachusetts,1001.0,,,25000.0,
24233,for_sale,2.0,2.0,,Agawam,Massachusetts,1001.0,892.0,2019-04-30,169900.0,2019.0
24234,for_sale,2.0,2.0,,Agawam,Massachusetts,1001.0,1428.0,,242000.0,
24235,for_sale,2.0,2.0,,Agawam,Massachusetts,1001.0,1659.0,,299950.0,
24236,for_sale,3.0,1.0,0.46,Agawam,Massachusetts,1001.0,1196.0,,239900.0,
24237,for_sale,3.0,3.0,0.45,Agawam,Massachusetts,1001.0,2314.0,2014-06-25,525000.0,2014.0
24238,for_sale,3.0,2.0,0.36,Agawam,Massachusetts,1001.0,1276.0,2012-10-12,289900.0,2012.0
24239,for_sale,2.0,3.0,,Agawam,Massachusetts,1001.0,1229.0,2016-06-07,239900.0,2016.0
24240,for_sale,2.0,1.0,,Agawam,Massachusetts,1001.0,860.0,1997-01-17,249900.0,1997.0
24241,for_sale,4.0,2.0,0.11,Agawam,Massachusetts,1001.0,1732.0,,275000.0,
24242,for_sale,6.0,2.0,0.24,Agawam,Massachusetts,1001.0,1800.0,,335000.0,
24243,for_sale,2.0,2.0,,Agawam,Massachusetts,1001.0,1136.0,,200000.0,
24244,for_sale,3.0,2.0,0.46,Agawam,Massachusetts,1001.0,1476.0,1986-11-20,384900.0,1986.0
24245,for_sale,2.0,2.0,,Agawam,Massachusetts,1001.0,1056.0,2019-09-12,175000.0,2019.0
24246,for_sale,2.0,2.0,,Agawam,Massachusetts,1001.0,960.0,2018-12-14,195000.0,2018.0
24247,for_sale,2.0,2.0,,Agawam,Massachusetts,1001.0,1386.0,,239900.0,
24248,for_sale,4.0,3.0,1.63,Agawam,Massachusetts,1001.0,2910.0,,779900.0,
24249,for_sale,,,0.39,Agawam,Massachusetts,1001.0,,,85000.0,
24251,for_sale,3.0,2.0,1.76,Agawam,Massachusetts,1001.0,1968.0,2008-09-19,199999.0,2008.0
24252,for_sale,,,0.21,Agawam,Massachusetts,1001.0,,,139900.0,
24253,for_sale,3.0,2.0,,Agawam,Massachusetts,1001.0,1880.0,,489900.0,
24258,for_sale,4.0,2.0,2.0,Pelham,Massachusetts,1002.0,1607.0,2005-07-25,419000.0,2005.0
24259,for_sale,,,2.66,Amherst,Massachusetts,1002.0,,,125000.0,
24260,for_sale,,,1.26,Amherst,Massachusetts,1002.0,,,115000.0,
24261,for_sale,,,1.41,Amherst,Massachusetts,1002.0,,,175000.0,
24262,for_sale,,,1.68,Amherst,Massachusetts,1002.0,,,160000.0,
24263,for_sale,,,3.25,Pelham,Massachusetts,1002.0,,,125000.0,
24264,for_sale,4.0,3.0,0.56,Amherst,Massachusetts,1002.0,2847.0,1992-06-24,745000.0,1992.0
24265,for_sale,,,0.52,Amherst,Massachusetts,1002.0,,,120000.0,
24266,for_sale,4.0,4.0,1.5,Pelham,Massachusetts,1002.0,4366.0,1996-07-12,875000.0,1996.0
24267,for_sale,4.0,4.0,0.77,Amherst,Massachusetts,1002.0,3879.0,1993-08-11,699900.0,1993.0
24268,for_sale,3.0,2.0,0.16,Amherst,Massachusetts,1002.0,1280.0,2021-08-19,275000.0,2021.0
24269,for_sale,,,1.27,Amherst,Massachusetts,1002.0,,,160000.0,
24270,for_sale,6.0,5.0,0.39,Amherst,Massachusetts,1002.0,3246.0,,880000.0,
24271,for_sale,3.0,1.0,1.39,Amherst,Massachusetts,1002.0,1748.0,,425000.0,
24272,for_sale,,,1.92,Amherst,Massachusetts,1002.0,,,225000.0,
24273,for_sale,4.0,2.0,0.49,Amherst,Massachusetts,1002.0,1814.0,1997-06-30,415000.0,1997.0
24274,for_sale,2.0,1.0,,Amherst,Massachusetts,1002.0,899.0,2021-06-15,232000.0,2021.0
24275,for_sale,3.0,2.0,0.5,Amherst,Massachusetts,1002.0,1128.0,1998-09-17,390000.0,1998.0
24276,for_sale,4.0,3.0,0.65,Amherst,Massachusetts,1002.0,3465.0,2006-10-03,865000.0,2006.0
24277,for_sale,4.0,3.0,0.46,Amherst,Massachusetts,1002.0,2143.0,1988-06-10,499900.0,1988.0
24278,for_sale,4.0,3.0,,Amherst,Massachusetts,1002.0,3200.0,2020-08-14,619900.0,2020.0
24279,for_sale,5.0,4.0,0.64,Amherst,Massachusetts,1002.0,2363.0,2004-07-28,650000.0,2004.0
24280,for_sale,4.0,3.0,0.25,Amherst,Massachusetts,1002.0,1764.0,,449900.0,
24281,for_sale,,,24.0,Pelham,Massachusetts,1002.0,,,449999.0,
24282,for_sale,2.0,2.0,,Amherst,Massachusetts,1002.0,979.0,2021-12-02,234900.0,2021.0
24283,for_sale,3.0,4.0,3.04,Amherst,Massachusetts,1002.0,2074.0,2006-06-21,975000.0,2006.0
24284,for_sale,3.0,2.0,0.2,Amherst,Massachusetts,1002.0,1349.0,2005-09-02,439900.0,2005.0
24285,for_sale,3.0,2.0,0.73,Amherst,Massachusetts,1002.0,1559.0,,495000.0,
24286,for_sale,2.0,1.0,2.0,Conway,Massachusetts,1341.0,1600.0,,350000.0,
24287,for_sale,4.0,2.0,0.33,Buckland,Massachusetts,1338.0,2246.0,,180000.0,
24288,for_sale,2.0,2.0,0.51,Granby,Massachusetts,1033.0,2000.0,2001-12-13,397000.0,2001.0
24289,for_sale,4.0,3.0,0.63,Greenfield,Massachusetts,1301.0,2624.0,,150000.0,
24290,for_sale,3.0,1.0,0.14,Northampton,Massachusetts,1062.0,1072.0,,105000.0,
24292,for_sale,5.0,2.0,0.27,Montague,Massachusetts,1376.0,3008.0,,289000.0,
24293,for_sale,3.0,1.0,0.31,Springfield,Massachusetts,1151.0,1252.0,,184900.0,
24294,for_sale,2.0,2.0,0.92,Whately,Massachusetts,1093.0,1723.0,1997-09-25,389900.0,1997.0
24295,for_sale,4.0,3.0,3.8,Sunderland,Massachusetts,1375.0,2768.0,2009-07-17,459900.0,2009.0
24296,for_sale,4.0,3.0,0.29,Chicopee,Massachusetts,1020.0,1514.0,1996-07-30,249900.0,1996.0
24297,for_sale,4.0,2.0,0.56,Granby,Massachusetts,1033.0,1523.0,2007-09-19,324900.0,2007.0
24298,for_sale,3.0,2.0,1.02,Belchertown,Massachusetts,1007.0,1617.0,2001-10-05,364900.0,2001.0
24299,for_sale,2.0,1.0,0.28,Chicopee,Massachusetts,1013.0,1207.0,2011-11-29,240000.0,2011.0
24300,for_sale,2.0,1.0,0.4,South Hadley,Massachusetts,1075.0,1034.0,1996-02-28,224900.0,1996.0
