,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
2,2.0,2.0,0.23,1001.0,892.0,2019-04-30,169900.0
8,2.0,3.0,0.23,1001.0,1229.0,2016-06-07,239900.0
14,2.0,2.0,0.23,1001.0,1056.0,2019-09-12,175000.0
15,2.0,2.0,0.23,1001.0,960.0,2018-12-14,195000.0
32,3.0,2.0,0.16,1002.0,1280.0,2021-08-19,275000.0
38,2.0,1.0,0.23,1002.0,899.0,2021-06-15,232000.0
42,4.0,3.0,0.23,1002.0,3200.0,2020-08-14,619900.0
46,2.0,2.0,0.23,1002.0,979.0,2021-12-02,234900.0
67,2.0,1.0,0.23,1022.0,884.0,2018-08-29,175000.0
84,2.0,1.0,0.23,1007.0,864.0,2021-09-10,229900.0
117,2.0,2.0,0.23,1007.0,1190.0,2018-09-28,329900.0
175,3.0,2.0,0.94,1007.0,1800.0,2021-11-05,100000.0
236,1.0,1.0,0.23,1060.0,773.0,2019-07-09,299000.0
241,2.0,1.0,0.23,1060.0,1572.0,2019-10-29,350000.0
248,3.0,2.0,0.05,1040.0,1644.0,2018-01-18,139000.0
269,5.0,2.0,0.15,1020.0,2316.0,2020-09-28,289900.0
292,1.0,1.0,0.23,1022.0,884.0,2020-08-18,169500.0
293,3.0,1.0,0.13,1040.0,1456.0,2019-10-21,279900.0
297,4.0,3.0,0.46,1075.0,2108.0,2021-09-21,400000.0
326,5.0,2.0,0.85,1075.0,1605.0,2017-02-13,379900.0
331,4.0,2.0,0.62,1056.0,1988.0,2016-08-11,379900.0
339,4.0,1.0,0.91,1027.0,1404.0,2021-09-23,349900.0
348,3.0,1.0,0.26,1040.0,1096.0,2019-05-10,289900.0
359,4.0,2.0,0.23,1364.0,1463.0,2020-04-27,299900.0
360,4.0,2.0,0.59,1035.0,2394.0,2018-06-08,439500.0
373,3.0,2.0,0.54,1033.0,1336.0,2019-08-02,325000.0
378,3.0,2.0,0.53,1033.0,880.0,2018-03-19,299900.0
390,3.0,2.0,0.2,1020.0,1584.0,2020-09-18,299900.0
405,2.0,1.0,0.23,1020.0,960.0,2019-07-31,145000.0
411,4.0,2.0,0.16,1020.0,1280.0,2020-09-11,375000.0
438,4.0,2.0,0.13,1040.0,1529.0,2021-03-22,229000.0
451,2.0,2.0,0.23,1075.0,1758.0,2019-12-27,415000.0
468,4.0,1.0,0.64,1028.0,1296.0,2017-06-23,329000.0
470,2.0,2.0,0.23,1057.0,1606.0,2020-06-05,249999.0
506,1.0,1.0,0.47,1026.0,608.0,2019-10-25,160000.0
521,3.0,2.0,0.37,1089.0,1269.0,2017-11-17,299900.0
525,3.0,2.0,0.34,1085.0,1424.0,2021-11-10,299413.0
528,3.0,2.0,0.34,1085.0,1536.0,2018-03-30,349900.0
534,3.0,2.0,0.23,1028.0,1259.0,2019-05-10,249900.0
538,3.0,1.0,0.8,1028.0,1196.0,2019-10-24,259000.0
539,4.0,3.0,0.28,1028.0,2500.0,2019-06-21,399000.0
677,1.0,1.0,5.46,1026.0,600.0,2021-05-05,144000.0
757,1.0,1.0,0.23,1230.0,711.0,2021-12-22,395000.0
791,3.0,3.0,0.23,1089.0,2443.0,2020-10-19,414900.0
974,3.0,2.0,0.16,1201.0,1809.0,2017-11-08,249900.0
1085,4.0,2.0,0.24,1089.0,2002.0,2019-01-02,349900.0
1114,5.0,2.0,0.11,1108.0,1634.0,2021-10-12,269000.0
1155,2.0,2.0,1.0,1085.0,1341.0,2022-01-05,237900.0
1178,4.0,4.0,0.62,1106.0,2712.0,2016-04-19,699900.0
1233,3.0,2.0,0.66,1585.0,1800.0,2021-04-30,65000.0
1303,4.0,2.0,0.15,1069.0,1922.0,2021-09-20,189000.0
1437,1.0,1.0,0.23,1237.0,500.0,2021-02-04,120000.0
1453,4.0,1.0,0.24,1056.0,1173.0,2017-07-14,289900.0
1457,3.0,1.0,0.23,1129.0,876.0,2019-08-01,198000.0
1459,3.0,3.0,3.11,1095.0,2275.0,2021-06-18,599000.0
1460,3.0,3.0,2.04,1057.0,2775.0,2019-12-02,465000.0
1471,3.0,2.0,0.16,1108.0,1181.0,2021-06-15,244900.0
1475,3.0,1.0,0.23,1118.0,1234.0,2017-02-24,270000.0
1478,3.0,2.0,0.14,1151.0,1799.0,2021-12-14,299000.0
1492,3.0,1.0,0.17,1109.0,1085.0,2022-01-21,219900.0
1513,3.0,2.0,0.11,1108.0,1586.0,2020-11-05,250000.0
1522,2.0,1.0,0.19,1118.0,1024.0,2016-02-26,239000.0
1536,3.0,1.0,0.32,1119.0,1082.0,2016-12-21,275000.0
1541,5.0,3.0,0.75,1036.0,2996.0,2017-08-25,449000.0
1544,3.0,2.0,0.21,1118.0,1508.0,2017-09-01,309900.0
1551,3.0,2.0,0.55,1085.0,1728.0,2019-07-31,399900.0
1571,3.0,2.0,0.25,1081.0,1820.0,2019-11-27,100000.0
1580,3.0,1.0,1.3,1057.0,1674.0,2018-08-08,290000.0
1592,3.0,3.0,0.17,1092.0,1400.0,2021-06-16,269900.0
1739,2.0,1.0,0.23,1606.0,798.0,2020-01-31,175000.0
1762,3.0,4.0,0.23,1590.0,2956.0,2020-08-10,849900.0
1770,3.0,1.0,0.53,1560.0,800.0,2019-04-18,169900.0
1777,2.0,2.0,0.23,1605.0,914.0,2019-10-01,199000.0
1792,1.0,2.0,0.23,1605.0,740.0,2019-10-01,185000.0
1793,1.0,2.0,0.23,1605.0,793.0,2019-10-01,185000.0
1802,1.0,1.0,0.23,1605.0,486.0,2020-09-16,119900.0
1831,2.0,2.0,0.09,1604.0,768.0,2020-01-16,329900.0
1870,2.0,2.0,0.23,1604.0,1397.0,2018-09-10,299000.0
1893,2.0,3.0,0.23,1536.0,1551.0,2019-09-06,385000.0
1935,2.0,2.0,0.23,1129.0,1012.0,2016-12-13,184900.0
1976,2.0,3.0,0.23,1566.0,1876.0,2018-06-26,289900.0
2101,1.0,1.0,0.23,1240.0,670.0,2021-02-05,134000.0
2104,3.0,4.0,0.23,1240.0,2245.0,2018-07-31,639000.0
2118,4.0,3.0,0.23,1230.0,4144.0,2020-07-01,1250000.0
2138,3.0,2.0,2.1,1262.0,1430.0,2018-05-31,475000.0
2141,2.0,1.0,0.3,1230.0,1364.0,2021-09-30,550000.0
2371,2.0,2.0,0.23,1432.0,1338.0,2021-10-13,479900.0
2419,3.0,2.0,0.23,1473.0,1332.0,2020-12-15,239000.0
2508,2.0,2.0,0.23,1886.0,1139.0,2019-08-20,398900.0
2540,2.0,1.0,0.23,1863.0,684.0,2019-03-29,230000.0
2588,5.0,4.0,1.15,1886.0,4000.0,2021-09-23,1549800.0
2596,2.0,2.0,0.23,1854.0,908.0,2018-07-31,290000.0
2634,3.0,2.0,0.23,1754.0,2211.0,2019-03-15,399000.0
2637,2.0,2.0,0.23,1718.0,1338.0,2019-02-19,380000.0
