,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,prev_sold_year
30126,for_sale,3.0,3.0,0.07,Burlington,New Jersey,8016.0,1500.0,,333490.0,
463568,for_sale,2.0,2.0,0.11,Avenel,New Jersey,7001.0,1456.0,1987-05-20,339900.0,1987.0
463569,for_sale,3.0,2.0,0.14,Avenel,New Jersey,7001.0,1542.0,2022-01-27,305100.0,2022.0
463570,for_sale,3.0,1.0,0.11,Avenel,New Jersey,7001.0,925.0,,205000.0,
463571,for_sale,,,0.11,Avenel,New Jersey,7001.0,,2016-12-21,479000.0,2016.0
463572,for_sale,3.0,3.0,0.15,Avenel,New Jersey,7001.0,1870.0,2002-12-17,325000.0,2002.0
463573,for_sale,5.0,2.0,0.11,Avenel,New Jersey,7001.0,,,449900.0,
463574,for_sale,5.0,2.0,,Avenel,New Jersey,7001.0,,1999-03-10,449000.0,1999.0
463575,for_sale,4.0,2.0,0.17,Avenel,New Jersey,7001.0,1842.0,2015-11-23,440000.0,2015.0
463576,for_sale,1.0,1.0,,Middlesex,New Jersey,7001.0,,,40000.0,
463577,for_sale,3.0,3.0,0.06,Avenel,New Jersey,7001.0,1476.0,1990-02-28,399000.0,1990.0
463578,for_sale,1.0,1.0,,Avenel,New Jersey,7001.0,,,65000.0,
463579,for_sale,3.0,2.0,0.17,Avenel,New Jersey,7001.0,7501.0,2021-11-01,340000.0,2021.0
463580,for_sale,5.0,2.0,0.18,Avenel,New Jersey,7001.0,1387.0,2020-12-22,484000.0,2020.0
463581,for_sale,3.0,2.0,0.17,Avenel,New Jersey,7001.0,,2019-05-28,425000.0,2019.0
463582,for_sale,2.0,2.0,,Avenel,New Jersey,7001.0,,1999-01-19,240000.0,1999.0
463583,for_sale,4.0,4.0,0.06,Avenel,New Jersey,7001.0,2296.0,2017-04-21,525000.0,2017.0
463584,for_sale,3.0,2.0,0.14,Woodbridge,New Jersey,7001.0,,2019-05-07,329000.0,2019.0
463585,for_sale,2.0,1.0,0.14,Avenel,New Jersey,7001.0,720.0,2010-05-18,275000.0,2010.0
463586,for_sale,2.0,2.0,,Woodbridge,New Jersey,7001.0,,2009-08-21,275000.0,2009.0
463587,for_sale,4.0,1.0,,Avenel,New Jersey,7001.0,,2008-09-16,325000.0,2008.0
463588,for_sale,3.0,1.0,0.17,Woodbridge,New Jersey,7001.0,1008.0,2022-02-08,325000.0,2022.0
463589,for_sale,2.0,2.0,0.01,Avenel,New Jersey,7001.0,,,275000.0,
463590,for_sale,2.0,3.0,0.02,Avenel,New Jersey,7001.0,,,359900.0,
463591,for_sale,5.0,4.0,0.34,Avenel,New Jersey,7001.0,3182.0,2021-01-11,799900.0,2021.0
463592,for_sale,,,0.11,Avenel,New Jersey,7001.0,1736.0,,439900.0,
463593,for_sale,3.0,1.0,0.17,Avenel,New Jersey,7001.0,1414.0,,375000.0,
463594,for_sale,3.0,2.0,0.11,Avenel,New Jersey,7001.0,,2014-12-16,409000.0,2014.0
463595,for_sale,5.0,2.0,0.17,Avenel,New Jersey,7001.0,2635.0,1993-06-02,545000.0,1993.0
463596,for_sale,2.0,2.0,,Avenel,New Jersey,7001.0,,2006-02-06,265000.0,2006.0
463597,for_sale,5.0,3.0,0.11,Avenel,New Jersey,7001.0,2592.0,2010-06-09,615000.0,2010.0
463598,for_sale,3.0,2.0,0.16,Avenel,New Jersey,7001.0,,2022-02-01,349900.0,2022.0
463599,for_sale,2.0,2.0,0.01,Avenel,New Jersey,7001.0,,,280000.0,
463600,for_sale,3.0,2.0,,Avenel,New Jersey,7001.0,,2017-01-27,415000.0,2017.0
463601,for_sale,3.0,1.0,0.11,Avenel,New Jersey,7001.0,862.0,2007-05-30,375000.0,2007.0
463602,for_sale,4.0,2.0,0.17,Avenel,New Jersey,7001.0,1950.0,2017-08-10,524999.0,2017.0
463603,for_sale,3.0,1.0,0.11,Avenel,New Jersey,7001.0,,1994-08-05,415000.0,1994.0
463604,for_sale,3.0,2.0,0.11,Avenel,New Jersey,7001.0,1199.0,2011-11-07,350000.0,2011.0
463605,for_sale,,,0.11,Avenel,New Jersey,7001.0,1792.0,2002-11-09,439000.0,2002.0
463606,for_sale,3.0,2.0,,Avenel,New Jersey,7001.0,1295.0,2015-10-08,350000.0,2015.0
463607,for_sale,3.0,2.0,0.1,Avenel,New Jersey,7001.0,1232.0,2000-08-16,449000.0,2000.0
463608,for_sale,5.0,3.0,0.14,Avenel,New Jersey,7001.0,,2021-06-17,795000.0,2021.0
463609,for_sale,4.0,4.0,0.1,Avenel,New Jersey,7001.0,1620.0,2022-02-25,460000.0,2022.0
463610,for_sale,3.0,1.0,,Bayonne,New Jersey,7002.0,,,53000.0,
463611,for_sale,3.0,1.0,,Bayonne,New Jersey,7002.0,,,299900.0,
463612,for_sale,1.0,1.0,,Bayonne,New Jersey,7002.0,680.0,,199000.0,
463613,for_sale,2.0,1.0,,Bayonne,New Jersey,7002.0,575.0,,198000.0,
463614,for_sale,1.0,1.0,,Bayonne,New Jersey,7002.0,450.0,,155000.0,
