,Unnamed: 0,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price,prev_sold_year,zip_code_str,latitude,longitude,county
0,2,3.0,2.0,0.14,7001.0,1542.0,2022-01-27,305100.0,2022,07001,40.582316,-74.271506,12
1,4,3.0,2.0,0.11,7001.0,1500.0,2016-12-21,479000.0,2016,07001,40.582316,-74.271506,12
2,12,3.0,2.0,0.17,7001.0,7501.0,2021-11-01,340000.0,2021,07001,40.582316,-74.271506,12
3,13,5.0,2.0,0.18,7001.0,1387.0,2020-12-22,484000.0,2020,07001,40.582316,-74.271506,12
4,14,3.0,2.0,0.17,7001.0,1500.0,2019-05-28,425000.0,2019,07001,40.582316,-74.271506,12
5,16,4.0,4.0,0.06,7001.0,2296.0,2017-04-21,525000.0,2017,07001,40.582316,-74.271506,12
6,17,3.0,2.0,0.14,7001.0,1500.0,2019-05-07,329000.0,2019,07001,40.582316,-74.271506,12
7,21,3.0,1.0,0.17,7001.0,1008.0,2022-02-08,325000.0,2022,07001,40.582316,-74.271506,12
8,24,5.0,4.0,0.34,7001.0,3182.0,2021-01-11,799900.0,2021,07001,40.582316,-74.271506,12
9,31,3.0,2.0,0.16,7001.0,1500.0,2022-02-01,349900.0,2022,07001,40.582316,-74.271506,12
10,33,3.0,2.0,0.11,7001.0,1500.0,2017-01-27,415000.0,2017,07001,40.582316,-74.271506,12
11,35,4.0,2.0,0.17,7001.0,1950.0,2017-08-10,524999.0,2017,07001,40.582316,-74.271506,12
12,41,5.0,3.0,0.14,7001.0,1500.0,2021-06-17,795000.0,2021,07001,40.582316,-74.271506,12
13,42,4.0,4.0,0.1,7001.0,1620.0,2022-02-25,460000.0,2022,07001,40.582316,-74.271506,12
14,174,3.0,2.0,0.19,7001.0,1552.0,2021-08-02,335000.0,2021,07001,40.582316,-74.271506,12
15,32357,3.0,1.0,0.11,7001.0,1109.0,2020-08-19,399900.0,2020,07001,40.582316,-74.271506,12
16,56,3.0,3.0,0.06,7002.0,1315.0,2016-05-17,495000.0,2016,07002,40.662338,-74.110275,3
17,57,4.0,3.0,0.11,7002.0,1500.0,2021-11-19,650000.0,2021,07002,40.662338,-74.110275,3
18,60,4.0,3.0,0.09,7002.0,1500.0,2016-06-14,629000.0,2016,07002,40.662338,-74.110275,3
19,64,4.0,2.0,0.05,7002.0,1500.0,2021-10-07,420000.0,2021,07002,40.662338,-74.110275,3
20,181,3.0,3.0,0.11,7002.0,1500.0,2020-08-24,495000.0,2020,07002,40.662338,-74.110275,3
