,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
2,3.0,2.0,0.14,7001.0,1542.0,2022-01-27,305100.0
4,3.0,2.0,0.11,7001.0,1500.0,2016-12-21,479000.0
12,3.0,2.0,0.17,7001.0,7501.0,2021-11-01,340000.0
13,5.0,2.0,0.18,7001.0,1387.0,2020-12-22,484000.0
14,3.0,2.0,0.17,7001.0,1500.0,2019-05-28,425000.0
16,4.0,4.0,0.06,7001.0,2296.0,2017-04-21,525000.0
17,3.0,2.0,0.14,7001.0,1500.0,2019-05-07,329000.0
21,3.0,1.0,0.17,7001.0,1008.0,2022-02-08,325000.0
24,5.0,4.0,0.34,7001.0,3182.0,2021-01-11,799900.0
31,3.0,2.0,0.16,7001.0,1500.0,2022-02-01,349900.0
33,3.0,2.0,0.11,7001.0,1500.0,2017-01-27,415000.0
35,4.0,2.0,0.17,7001.0,1950.0,2017-08-10,524999.0
41,5.0,3.0,0.14,7001.0,1500.0,2021-06-17,795000.0
42,4.0,4.0,0.1,7001.0,1620.0,2022-02-25,460000.0
56,3.0,3.0,0.06,7002.0,1315.0,2016-05-17,495000.0
57,4.0,3.0,0.11,7002.0,1500.0,2021-11-19,650000.0
60,4.0,3.0,0.09,7002.0,1500.0,2016-06-14,629000.0
64,4.0,2.0,0.05,7002.0,1500.0,2021-10-07,420000.0
72,2.0,1.0,0.06,7003.0,1500.0,2021-12-07,299000.0
75,3.0,3.0,0.25,7003.0,1500.0,2021-04-27,579000.0
77,3.0,2.0,0.09,7003.0,1500.0,2021-07-23,575000.0
81,3.0,3.0,0.22,7003.0,1500.0,2021-08-27,410000.0
88,3.0,3.0,0.07,7003.0,1500.0,2017-11-21,439999.0
89,3.0,2.0,0.09,7003.0,1500.0,2018-07-20,400000.0
93,6.0,3.0,0.11,7003.0,1500.0,2021-08-30,599000.0
94,3.0,2.0,0.12,7003.0,1500.0,2017-10-06,524000.0
98,5.0,3.0,0.13,7003.0,2371.0,2018-06-12,749000.0
100,6.0,3.0,0.07,7003.0,1500.0,2016-10-05,449900.0
102,3.0,3.0,0.09,7003.0,1232.0,2018-10-03,385000.0
103,3.0,2.0,0.12,7003.0,1500.0,2016-11-23,550000.0
114,3.0,2.0,0.14,7004.0,1500.0,2018-02-09,420000.0
115,3.0,3.0,0.55,7004.0,2728.0,2018-07-25,764900.0
120,2.0,3.0,0.34,7004.0,1500.0,2017-08-29,570000.0
121,3.0,2.0,0.17,7004.0,1500.0,2021-06-30,475000.0
127,4.0,3.0,0.75,7004.0,1500.0,2016-02-23,699900.0
