,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
1,3.0,2.0,2.02,12521.0,1600.0,2021-11-24,425000.0
2,4.0,2.0,0.24,12521.0,1239.0,2018-02-01,225000.0
7,3.0,2.0,1.2,12546.0,1350.0,2018-08-31,375000.0
16,3.0,2.0,5.01,12060.0,2504.0,2020-11-09,435000.0
27,3.0,2.0,19.7,12529.0,1200.0,2021-01-20,625000.0
73,4.0,2.0,11.22,12029.0,1931.0,2022-02-17,299900.0
79,4.0,4.0,217.0,12017.0,4000.0,2016-12-13,3500000.0
83,4.0,5.0,0.51,12125.0,3133.0,2019-09-11,339000.0
87,4.0,2.0,5.2,12517.0,2029.0,2019-10-23,625000.0
88,3.0,2.0,0.65,12029.0,1600.0,2020-05-07,369900.0
160,4.0,3.0,0.33,12037.0,2250.0,2022-01-13,277000.0
218,3.0,2.0,25.1,12138.0,1200.0,2018-03-05,89900.0
220,3.0,2.0,5.5,12180.0,1200.0,2021-07-09,39900.0
225,4.0,2.0,0.13,12090.0,1978.0,2018-06-01,122750.0
236,5.0,3.0,0.82,12125.0,3075.0,2018-07-17,378000.0
248,4.0,1.0,4.79,12061.0,1607.0,2018-11-27,189900.0
249,4.0,3.0,0.05,12090.0,1890.0,2020-03-24,109000.0
252,4.0,2.0,0.45,12075.0,4520.0,2021-06-24,312000.0
264,3.0,3.0,7.54,12529.0,2450.0,2019-10-10,590000.0
268,2.0,2.0,0.45,12180.0,1550.0,2020-04-02,150000.0
278,4.0,2.0,0.6,12138.0,1950.0,2018-10-10,265000.0
286,5.0,4.0,2.0,12184.0,2000.0,2019-02-22,280000.0
291,2.0,1.0,2.39,12513.0,720.0,2021-03-24,229900.0
313,3.0,4.0,0.91,12075.0,2120.0,2022-03-07,425000.0
319,3.0,2.0,54.38,12138.0,1200.0,2021-09-22,105000.0
321,3.0,2.0,1.0,12546.0,2710.0,2019-01-23,365000.0
331,3.0,2.0,5.0,12136.0,2042.0,2021-02-08,395000.0
346,3.0,2.0,0.33,12018.0,1271.0,2017-05-03,589900.0
355,4.0,3.0,2.01,12018.0,3984.0,2018-06-05,469900.0
362,4.0,2.0,1.0,12184.0,1596.0,2018-05-17,245000.0
364,3.0,2.0,0.25,12534.0,1890.0,2020-01-10,549000.0
365,3.0,2.0,4.25,12018.0,1080.0,2019-02-13,264900.0
368,3.0,2.0,0.56,12196.0,3200.0,2018-04-03,439900.0
387,3.0,3.0,0.09,12521.0,1320.0,2020-02-28,995000.0
393,3.0,2.0,0.24,12090.0,1800.0,2021-04-02,199000.0
399,4.0,2.0,99.0,12123.0,2368.0,2021-06-28,700000.0
400,3.0,3.0,1.5,12184.0,2126.0,2018-05-15,629000.0
401,3.0,2.0,2.0,12052.0,1200.0,2020-06-15,155000.0
405,3.0,2.0,4.08,12060.0,1200.0,2017-01-25,370000.0
407,3.0,1.0,0.36,12123.0,1218.0,2016-04-06,149900.0
408,2.0,1.0,2.67,12090.0,1216.0,2021-07-02,215000.0
418,3.0,2.0,43.25,12090.0,1200.0,2019-07-18,108000.0
426,3.0,3.0,5.06,12062.0,2224.0,2017-01-11,354900.0
430,2.0,1.0,0.17,12037.0,1030.0,2018-12-31,219999.0
435,3.0,2.0,0.32,12037.0,1126.0,2020-06-16,345000.0
439,3.0,2.0,0.61,12018.0,1680.0,2019-03-08,349900.0
443,3.0,2.0,1.06,12546.0,1200.0,2021-10-23,69000.0
452,3.0,2.0,0.77,12090.0,1456.0,2018-08-21,164900.0
467,3.0,2.0,3.9,12029.0,2100.0,2019-11-22,349900.0
478,2.0,1.0,0.18,12196.0,1000.0,2017-12-19,179900.0
479,2.0,1.0,0.46,12196.0,1040.0,2016-12-28,230000.0
507,4.0,1.0,0.61,12090.0,1695.0,2019-09-27,199000.0
508,7.0,3.0,0.05,12123.0,3885.0,2021-12-09,375000.0
512,5.0,2.0,16.06,12136.0,2639.0,2016-09-02,599000.0
515,5.0,4.0,8.95,12136.0,4278.0,2019-04-01,1300000.0
518,3.0,2.0,0.35,12052.0,1216.0,2016-11-28,230000.0
530,3.0,2.0,2.7,12184.0,1900.0,2017-06-27,419000.0
536,4.0,3.0,12.53,12168.0,2400.0,2021-06-22,450000.0
537,3.0,2.0,1.0,12037.0,2160.0,2019-12-03,349900.0
548,3.0,4.0,8.64,12136.0,2600.0,2019-09-25,1200000.0
551,3.0,2.0,0.57,12545.0,1440.0,2020-07-14,394000.0
555,3.0,2.0,10.9,12514.0,1630.0,2020-02-24,595000.0
567,3.0,2.0,129.0,12581.0,1200.0,2019-04-12,1595000.0
610,3.0,2.0,2.03,12581.0,1200.0,2018-11-29,259000.0
644,3.0,2.0,1.5,12502.0,1200.0,2019-04-08,125000.0
649,4.0,3.0,131.3,12502.0,3202.0,2016-07-11,1825000.0
651,2.0,2.0,0.76,12567.0,1190.0,2016-06-14,269000.0
653,2.0,1.0,0.28,12523.0,888.0,2022-01-06,149500.0
662,3.0,2.0,3.85,12571.0,1120.0,2016-10-27,315000.0
669,4.0,4.0,1.74,12545.0,3250.0,2018-06-08,1290000.0
679,3.0,2.0,1.57,12581.0,1627.0,2019-11-20,150000.0
684,8.0,5.0,1.7,12501.0,4000.0,2019-12-17,749000.0
685,4.0,3.0,3.36,12523.0,2553.0,2020-08-27,775000.0
696,3.0,3.0,5.0,12521.0,2517.0,2017-05-30,895000.0
702,3.0,2.0,5.0,12545.0,1200.0,2018-10-26,120000.0
703,6.0,5.0,16.05,12501.0,1200.0,2019-05-10,1765000.0
713,3.0,3.0,0.68,12545.0,1872.0,2018-08-09,785000.0
720,3.0,1.0,0.34,12567.0,1197.0,2018-09-10,320000.0
722,4.0,4.0,10.34,12571.0,2225.0,2018-03-20,2400000.0
726,3.0,3.0,11.9,12571.0,2134.0,2018-03-20,1950000.0
728,1.0,2.0,3.08,12571.0,1200.0,2021-05-17,799000.0
729,4.0,4.0,10.1,12571.0,3318.0,2018-03-20,2750000.0
753,3.0,1.0,0.49,12522.0,1260.0,2018-10-02,239000.0
765,2.0,3.0,10.0,12514.0,1440.0,2017-01-31,549000.0
771,3.0,2.0,0.14,12501.0,1834.0,2019-10-18,279000.0
772,3.0,2.0,0.52,12513.0,1926.0,2019-02-04,329000.0
775,4.0,3.0,1.52,12545.0,2080.0,2021-03-24,420000.0
784,3.0,2.0,0.58,11954.0,1500.0,2021-03-20,2395000.0
793,3.0,2.0,3.57,11954.0,1200.0,2016-04-05,2500000.0
797,3.0,2.0,0.17,11954.0,1200.0,2021-03-02,1925000.0
804,4.0,4.0,0.83,11954.0,3500.0,2021-07-21,7500000.0
807,2.0,2.0,0.86,11954.0,1680.0,2021-03-31,3700000.0
816,4.0,5.0,1.01,11954.0,4200.0,2020-10-15,5650000.0
817,4.0,2.0,1.2,11954.0,2000.0,2020-10-26,5250000.0
827,3.0,2.0,3.0,11954.0,1200.0,2016-04-01,2500000.0
831,5.0,4.0,0.05,11954.0,2900.0,2019-03-29,4850000.0
835,3.0,2.0,4.22,12837.0,1352.0,2018-12-18,105000.0
839,4.0,4.0,0.39,12832.0,2688.0,2017-06-07,250000.0
840,4.0,3.0,1.97,12816.0,1760.0,2021-09-08,325000.0
843,5.0,2.0,53.81,12865.0,1932.0,2016-02-23,215000.0
845,1.0,2.0,5.81,12873.0,1170.0,2020-09-22,229000.0
860,2.0,1.0,0.31,12816.0,1260.0,2020-04-29,75000.0
866,3.0,2.0,6.29,12121.0,1200.0,2021-09-09,79900.0
867,3.0,2.0,0.66,12185.0,2236.0,2019-09-17,189900.0
869,3.0,1.0,1.13,12185.0,1006.0,2021-09-30,244900.0
879,5.0,2.0,0.27,12816.0,2918.0,2019-10-29,174000.0
900,6.0,3.0,3.0,12819.0,2989.0,2017-04-04,60000.0
938,4.0,3.0,0.8,12832.0,2106.0,2021-09-20,244900.0
939,2.0,1.0,0.06,12841.0,740.0,2019-10-31,529000.0
949,3.0,2.0,6.3,12816.0,1350.0,2019-06-21,189000.0
956,3.0,2.0,0.92,12832.0,1612.0,2018-09-06,219900.0
957,5.0,2.0,0.97,12827.0,1872.0,2016-06-14,274900.0
964,3.0,1.0,1.05,12832.0,1376.0,2018-12-27,164900.0
971,3.0,2.0,7.0,12819.0,1200.0,2017-10-12,225000.0
980,5.0,3.0,0.18,12887.0,3169.0,2019-08-13,139000.0
981,4.0,3.0,0.31,12834.0,2844.0,2016-10-04,239900.0
989,1.0,1.0,6.0,12865.0,1761.0,2020-02-28,65000.0
995,3.0,3.0,2.41,12837.0,2588.0,2016-05-24,350000.0
999,4.0,2.0,0.15,12816.0,1800.0,2018-01-17,264900.0
1000,4.0,2.0,0.15,12834.0,1840.0,2019-10-03,189900.0
1005,3.0,1.0,3.2,12827.0,1120.0,2020-11-18,209900.0
1012,3.0,1.0,0.39,12887.0,1411.0,2021-03-12,149900.0
1013,5.0,2.0,2.12,12828.0,2443.0,2021-12-22,249000.0
1025,3.0,2.0,10.21,12887.0,1508.0,2017-12-19,279900.0
1026,5.0,2.0,0.39,12832.0,1909.0,2021-08-19,205000.0
1030,4.0,2.0,0.64,12809.0,2094.0,2016-02-25,165000.0
1035,5.0,3.0,4.09,12849.0,2567.0,2016-10-07,260000.0
1040,3.0,1.0,0.17,12834.0,1256.0,2018-05-31,175000.0
1043,3.0,2.0,6.4,12832.0,2200.0,2017-08-02,289900.0
1044,3.0,2.0,3.68,12839.0,2016.0,2017-10-18,329000.0
1085,3.0,2.0,1.6,12944.0,1960.0,2019-02-25,263000.0
1094,4.0,2.0,0.29,12901.0,2840.0,2018-07-10,169000.0
1107,3.0,2.0,0.6,12944.0,1754.0,2018-10-25,179900.0
1109,3.0,2.0,1.0,12972.0,2485.0,2020-01-08,238500.0
1134,3.0,3.0,3.2,12936.0,2160.0,2021-05-12,219000.0
1138,3.0,2.0,0.16,12901.0,1539.0,2021-07-14,224900.0
1148,4.0,2.0,0.23,12962.0,3264.0,2022-02-23,120000.0
1153,3.0,2.0,1.1,12936.0,1200.0,2017-05-11,49900.0
1166,3.0,2.0,5.88,12993.0,1200.0,2019-05-22,116000.0
1170,3.0,2.0,0.38,12901.0,1752.0,2017-08-14,179900.0
1202,4.0,2.0,0.24,12901.0,1879.0,2016-10-05,80000.0
1206,3.0,3.0,0.92,12972.0,1547.0,2019-08-23,255000.0
1209,3.0,2.0,0.12,12901.0,1432.0,2021-10-13,195000.0
1212,4.0,2.0,0.25,12901.0,2022.0,2017-05-09,329000.0
1214,3.0,2.0,0.01,12903.0,1450.0,2020-02-28,249900.0
1230,2.0,1.0,0.17,12901.0,844.0,2019-07-30,155000.0
1245,3.0,3.0,0.77,12901.0,1904.0,2016-08-16,169900.0
1247,2.0,1.0,0.01,12901.0,980.0,2017-03-16,134900.0
1256,5.0,3.0,0.07,12901.0,2044.0,2019-03-04,170000.0
1260,5.0,2.0,0.19,12901.0,1873.0,2016-07-29,259900.0
1264,4.0,3.0,12.53,12972.0,2364.0,2020-11-23,415000.0
1265,3.0,2.0,0.26,12972.0,1752.0,2018-06-29,229995.0
