,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,prev_sold_year
448161,for_sale,5.0,5.0,0.92,Newtown Square,Pennsylvania,19073.0,4953.0,,1470000.0,
448678,for_sale,5.0,5.0,0.92,Newtown Square,Pennsylvania,19073.0,4953.0,,1445000.0,
449119,for_sale,5.0,5.0,,Newtown Square,Pennsylvania,19073.0,,,1445000.0,
449243,for_sale,5.0,5.0,0.92,Newtown Square,Pennsylvania,19073.0,4953.0,,1420000.0,
449919,for_sale,4.0,5.0,0.94,Newtown Square,Pennsylvania,19073.0,5618.0,,1795000.0,
450052,for_sale,5.0,5.0,0.93,Newtown Square,Pennsylvania,19073.0,4953.0,,1645000.0,
587127,for_sale,,,1.0,East Stroudsburg,Pennsylvania,18302.0,,,28500.0,
587623,for_sale,3.0,3.0,1.14,Lower Mt Bethel Township,Pennsylvania,18013.0,1865.0,2017-08-01,279900.0,2017.0
587626,for_sale,3.0,1.0,0.56,East Stroudsburg,Pennsylvania,18301.0,1050.0,1970-11-10,129900.0,1970.0
587627,for_sale,3.0,1.0,0.22,Bangor,Pennsylvania,18013.0,1011.0,,160000.0,
587635,for_sale,2.0,3.0,0.03,Stroudsburg,Pennsylvania,18360.0,1230.0,2005-04-01,189900.0,2005.0
587638,for_sale,,1.0,0.13,Bangor,Pennsylvania,18013.0,4048.0,,350000.0,
587639,for_sale,3.0,2.0,0.13,East Stroudsburg,Pennsylvania,18301.0,1306.0,2021-09-03,259900.0,2021.0
587644,for_sale,3.0,1.0,0.09,Bangor,Pennsylvania,18013.0,904.0,2019-03-26,135900.0,2019.0
587648,for_sale,2.0,2.0,0.02,Stroudsburg,Pennsylvania,18360.0,1166.0,,171500.0,
587651,for_sale,4.0,2.0,0.15,Bangor,Pennsylvania,18013.0,2088.0,1999-02-04,189900.0,1999.0
587652,for_sale,,,0.15,Stroudsburg,Pennsylvania,18360.0,2500.0,,479900.0,
587653,for_sale,4.0,,0.15,Stroudsburg,Pennsylvania,18360.0,3360.0,,479900.0,
587657,for_sale,4.0,3.0,0.27,Stroudsburg,Pennsylvania,18360.0,2646.0,,394500.0,
587659,for_sale,4.0,4.0,50.1,East Stroudsburg,Pennsylvania,18301.0,3902.0,1975-09-02,2250000.0,1975.0
587661,for_sale,3.0,2.0,0.24,Stroud Township,Pennsylvania,18360.0,1161.0,2020-02-25,285000.0,2020.0
587663,for_sale,3.0,5.0,15.0,Upper Mt Bethel Township,Pennsylvania,18343.0,2500.0,2020-10-26,1500000.0,2020.0
587839,for_sale,4.0,3.0,0.4,Bushkill,Pennsylvania,18324.0,2661.0,2019-12-23,349000.0,2019.0
587902,for_sale,3.0,3.0,0.48,Greeley,Pennsylvania,18425.0,2200.0,,199000.0,
587903,for_sale,3.0,2.0,1.04,Milford,Pennsylvania,18337.0,3220.0,2004-11-22,270000.0,2004.0
587959,for_sale,4.0,3.0,0.85,East Stroudsburg,Pennsylvania,18301.0,2107.0,,449900.0,
587960,for_sale,3.0,3.0,0.32,East Stroudsburg,Pennsylvania,18301.0,1350.0,2006-10-31,245000.0,2006.0
587962,for_sale,1.0,2.0,0.15,Bangor,Pennsylvania,18013.0,2800.0,,219900.0,
587963,for_sale,4.0,2.0,0.39,Stroudsburg,Pennsylvania,18360.0,2142.0,2021-06-01,269000.0,2021.0
587968,for_sale,4.0,3.0,0.15,Stroudsburg,Pennsylvania,18360.0,2808.0,1988-08-17,470000.0,1988.0
587969,for_sale,,,1.25,Stroudsburg,Pennsylvania,18360.0,,,26000.0,
588047,for_sale,3.0,2.0,0.66,Bushkill,Pennsylvania,18324.0,1800.0,,159900.0,
588048,for_sale,,,1.7,Dingmans Ferry,Pennsylvania,18328.0,,,15900.0,
588049,for_sale,,,1.48,Dingmans Ferry,Pennsylvania,18328.0,,,19900.0,
588052,for_sale,5.0,7.0,1.69,East Stroudsburg,Pennsylvania,18302.0,5700.0,2006-08-08,849000.0,2006.0
588053,for_sale,3.0,3.0,0.9,East Stroudsburg,Pennsylvania,18301.0,3182.0,1999-07-01,189000.0,1999.0
588054,for_sale,,,0.5,Bushkill,Pennsylvania,18324.0,,,7000.0,
588055,for_sale,3.0,2.0,0.85,East Stroudsburg,Pennsylvania,18302.0,1509.0,2020-06-08,139995.0,2020.0
588056,for_sale,3.0,1.0,0.69,Shohola,Pennsylvania,18458.0,4632.0,,169000.0,
588058,for_sale,,,1.1,Lords Valley,Pennsylvania,18428.0,,,17500.0,
588059,for_sale,,,,Lehman,Pennsylvania,18324.0,,,9900.0,
588060,for_sale,,,0.53,Bushkill,Pennsylvania,18324.0,,,10900.0,
588061,for_sale,,,1.18,Dingmans Ferry,Pennsylvania,18328.0,,,15000.0,
588063,for_sale,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2200.0,,394900.0,
588065,for_sale,,,0.34,Bushkill,Pennsylvania,18324.0,,,9500.0,
588068,for_sale,,,1.95,Hawley,Pennsylvania,18428.0,,2019-04-25,24500.0,2019.0
588072,for_sale,,,1.23,Bushkill,Pennsylvania,18324.0,,,40000.0,
588073,for_sale,,,0.53,Lords Valley,Pennsylvania,18428.0,,,12000.0,
588077,for_sale,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,,449000.0,
588078,for_sale,,,0.39,Bushkill,Pennsylvania,12864.0,,,8500.0,
588080,for_sale,,,0.22,Dingmans Ferry,Pennsylvania,18328.0,,,17500.0,
588082,for_sale,,,2.2,Shohola,Pennsylvania,18458.0,,,78500.0,
588084,for_sale,,,0.67,Dingmans Ferry,Pennsylvania,18328.0,,,28000.0,
588085,for_sale,,,1.3,Milford,Pennsylvania,18337.0,,,30000.0,
588086,for_sale,,,1.12,Dingmans Ferry,Pennsylvania,18328.0,,,55000.0,
588088,for_sale,,,30.25,Milford,Pennsylvania,18337.0,,2007-04-11,756250.0,2007.0
588089,for_sale,,,1.11,East Stroudsburg,Pennsylvania,18302.0,,,56500.0,
588095,for_sale,,,0.43,Milford,Pennsylvania,,,,89900.0,
588099,for_sale,5.0,5.0,0.6,East Stroudsburg,Pennsylvania,18302.0,6300.0,2001-12-21,874999.0,2001.0
588100,for_sale,5.0,4.0,1.5,Hawley,Pennsylvania,18428.0,5138.0,,625000.0,
588101,for_sale,3.0,2.0,0.29,Bushkill,Pennsylvania,18324.0,2700.0,2014-03-03,200000.0,2014.0
588102,for_sale,,,1.18,Dingmans Ferry,Pennsylvania,18328.0,,,13900.0,
588105,for_sale,,,0.51,East Stroudsburg,Pennsylvania,18302.0,,,19999.0,
588106,for_sale,,,0.78,Bushkill,Pennsylvania,18324.0,,,30000.0,
588107,for_sale,,,1.43,Lackawaxen,Pennsylvania,18435.0,,,45000.0,
588109,for_sale,,,0.51,Bushkill,Pennsylvania,18324.0,,,7500.0,
588110,for_sale,,,1.11,Milford,Pennsylvania,18337.0,,,24900.0,
588111,for_sale,,,0.54,Bushkill,Pennsylvania,18324.0,,,35000.0,
588112,for_sale,,,0.42,Bushkill,Pennsylvania,18324.0,,,30000.0,
588113,for_sale,,,1.26,Milford,Pennsylvania,18337.0,,,29900.0,
588114,for_sale,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,,357900.0,
588115,for_sale,,,1.45,Milford,Pennsylvania,18337.0,,,25000.0,
588117,for_sale,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,,367900.0,
588118,for_sale,,,1.08,East Stroudsburg,Pennsylvania,18301.0,,,42000.0,
588119,for_sale,,,1.23,Milford,Pennsylvania,18337.0,,,40000.0,
588120,for_sale,3.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,,394900.0,
588121,for_sale,,,0.52,Lords Valley,Pennsylvania,18428.0,,,49900.0,
588122,for_sale,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2200.0,,382900.0,
588124,for_sale,,,1.26,Dingmans Ferry,Pennsylvania,18328.0,,,65000.0,
588129,for_sale,,,0.5,East Stroudsburg,Pennsylvania,18301.0,,,39900.0,
588130,for_sale,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,,342900.0,
588131,for_sale,,,22.89,Dingmans Ferry,Pennsylvania,18328.0,,,299000.0,
588140,for_sale,3.0,2.0,0.46,Bushkill,Pennsylvania,18324.0,1120.0,,129900.0,
588144,for_sale,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,,515000.0,
588149,for_sale,,,0.34,Bushkill,Pennsylvania,18324.0,,,70000.0,
588150,for_sale,,,0.5,Lords Valley,Pennsylvania,18428.0,,,52500.0,
588152,for_sale,,,0.33,Bushkill,Pennsylvania,18324.0,,,9999.0,
588154,for_sale,,,1.03,Dingmans Ferry,Pennsylvania,18328.0,,,9500.0,
588155,for_sale,,,2.46,East Stroudsburg,Pennsylvania,18302.0,,,29913.0,
588156,for_sale,,,2.64,East Stroudsburg,Pennsylvania,18302.0,,,29913.0,
