,Unnamed: 0,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price,prev_sold_year,zip_code_str,latitude,longitude,county
0,7,3.0,3.0,1.14,18013.0,1865.0,2017-08-01,279900.0,2017,018013,40.848762,-75.177293,19
1,13,3.0,1.0,0.09,18013.0,904.0,2019-03-26,135900.0,2019,018013,40.848762,-75.177293,19
2,635,4.0,3.0,2.67,18013.0,2607.0,2019-07-10,575000.0,2019,018013,40.848762,-75.177293,19
3,656,3.0,2.0,1.85,18013.0,2567.0,2019-05-21,549900.0,2019,018013,40.848762,-75.177293,19
4,686,3.0,2.0,0.09,18013.0,1377.0,2022-03-04,190000.0,2022,018013,40.848762,-75.177293,19
5,689,3.0,1.0,0.08,18013.0,1131.0,2022-03-04,190000.0,2022,018013,40.848762,-75.177293,19
6,8932,2.0,3.0,1.18,18013.0,1653.0,2018-10-15,389900.0,2018,018013,40.848762,-75.177293,19
7,12,3.0,2.0,0.13,18301.0,1306.0,2021-09-03,259900.0,2021,018301,41.042703,-75.175581,19
8,649,2.0,1.0,0.59,18301.0,864.0,2019-08-19,127300.0,2019,018301,41.042703,-75.175581,19
9,658,4.0,3.0,0.44,18301.0,2027.0,2022-03-01,274900.0,2022,018301,41.042703,-75.175581,19
10,660,3.0,2.0,1.1,18301.0,1300.0,2016-10-19,299900.0,2016,018301,41.042703,-75.175581,19
11,681,5.0,3.0,0.29,18301.0,2200.0,2018-08-16,365000.0,2018,018301,41.042703,-75.175581,19
12,20,3.0,2.0,0.24,18360.0,1161.0,2020-02-25,285000.0,2020,018360,40.967382,-75.287972,19
13,28,4.0,2.0,0.39,18360.0,2142.0,2021-06-01,269000.0,2021,018360,40.967382,-75.287972,19
14,633,4.0,2.0,0.36,18360.0,1731.0,2021-09-01,289000.0,2021,018360,40.967382,-75.287972,19
15,639,3.0,2.0,0.08,18360.0,1944.0,2021-09-29,249900.0,2021,018360,40.967382,-75.287972,19
16,653,4.0,3.0,0.69,18360.0,3775.0,2017-09-22,439900.0,2017,018360,40.967382,-75.287972,19
17,683,3.0,2.0,0.11,18360.0,1120.0,2021-09-03,264900.0,2021,018360,40.967382,-75.287972,19
18,22,4.0,3.0,0.4,18324.0,2661.0,2019-12-23,349000.0,2019,018324,41.158143,-75.000689,19
19,134,3.0,2.0,0.59,18324.0,1152.0,2018-10-25,41500.0,2018,018324,41.158143,-75.000689,19
20,181,4.0,3.0,0.28,18324.0,2512.0,2017-12-26,240000.0,2017,018324,41.158143,-75.000689,19
21,182,3.0,3.0,0.4,18324.0,1260.0,2022-01-14,134850.0,2022,018324,41.158143,-75.000689,19
22,187,3.0,2.0,0.55,18324.0,1152.0,2019-01-03,18000.0,2019,018324,41.158143,-75.000689,19
23,205,3.0,2.0,0.45,18324.0,1880.0,2018-03-20,399000.0,2018,018324,41.158143,-75.000689,19
24,239,4.0,3.0,0.04,18324.0,2500.0,2021-12-08,349900.0,2021,018324,41.158143,-75.000689,19
25,274,5.0,3.0,0.34,18324.0,2326.0,2020-10-28,284900.0,2020,018324,41.158143,-75.000689,19
26,285,4.0,3.0,0.37,18324.0,2218.0,2021-01-05,350000.0,2021,018324,41.158143,-75.000689,19
27,325,3.0,2.0,1.13,18324.0,1456.0,2019-09-27,239900.0,2019,018324,41.158143,-75.000689,19
28,340,3.0,3.0,0.02,18324.0,2156.0,2019-07-08,299000.0,2019,018324,41.158143,-75.000689,19
29,345,2.0,2.0,0.05,18324.0,1050.0,2016-02-03,122000.0,2016,018324,41.158143,-75.000689,19
30,347,4.0,3.0,0.6,18324.0,2457.0,2017-05-30,425000.0,2017,018324,41.158143,-75.000689,19
31,359,3.0,3.0,0.81,18324.0,2536.0,2016-08-30,300000.0,2016,018324,41.158143,-75.000689,19
