,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
7,3.0,3.0,1.14,18013.0,1865.0,2017-08-01,279900.0
12,3.0,2.0,0.13,18301.0,1306.0,2021-09-03,259900.0
13,3.0,1.0,0.09,18013.0,904.0,2019-03-26,135900.0
20,3.0,2.0,0.24,18360.0,1161.0,2020-02-25,285000.0
22,4.0,3.0,0.4,18324.0,2661.0,2019-12-23,349000.0
28,4.0,2.0,0.39,18360.0,2142.0,2021-06-01,269000.0
37,3.0,2.0,0.85,18302.0,1509.0,2020-06-08,139995.0
45,3.0,2.0,1.95,18428.0,1152.0,2019-04-25,24500.0
133,3.0,2.0,1.1,18337.0,1152.0,2016-12-21,49900.0
134,3.0,2.0,0.59,18324.0,1152.0,2018-10-25,41500.0
137,3.0,2.0,1.19,18337.0,1152.0,2021-07-28,55000.0
145,4.0,3.0,0.56,18371.0,3126.0,2020-12-23,349999.0
146,2.0,1.0,0.36,18328.0,912.0,2019-01-30,250000.0
149,3.0,2.0,0.14,18336.0,1922.0,2021-12-17,160000.0
155,3.0,2.0,0.43,18337.0,1900.0,2021-07-09,424900.0
156,3.0,2.0,0.56,18328.0,1562.0,2021-11-23,139999.0
157,3.0,2.0,0.87,18371.0,1497.0,2021-06-28,189000.0
158,2.0,2.0,0.45,18425.0,1360.0,2018-06-05,234900.0
160,2.0,1.0,0.19,18328.0,1904.0,2021-01-22,182000.0
167,4.0,3.0,1.16,18337.0,3656.0,2022-01-03,420000.0
170,4.0,4.0,0.5,18343.0,2149.0,2016-02-26,250000.0
176,2.0,1.0,0.1,18458.0,600.0,2019-10-16,39900.0
181,4.0,3.0,0.28,18324.0,2512.0,2017-12-26,240000.0
182,3.0,3.0,0.4,18324.0,1260.0,2022-01-14,134850.0
187,3.0,2.0,0.55,18324.0,1152.0,2019-01-03,18000.0
205,3.0,2.0,0.45,18324.0,1880.0,2018-03-20,399000.0
225,2.0,2.0,0.46,18328.0,1652.0,2018-11-28,235000.0
234,3.0,2.0,0.23,18343.0,1152.0,2021-10-07,70000.0
239,4.0,3.0,0.04,18324.0,2500.0,2021-12-08,349900.0
252,3.0,1.0,0.32,18328.0,960.0,2018-02-02,148400.0
266,2.0,2.0,0.01,18302.0,1782.0,2017-08-08,119900.0
267,3.0,2.0,0.68,18337.0,2480.0,2018-11-19,409000.0
270,3.0,2.0,0.78,18302.0,872.0,2021-04-16,189900.0
272,3.0,1.0,0.25,18302.0,1408.0,2022-03-16,195000.0
274,5.0,3.0,0.34,18324.0,2326.0,2020-10-28,284900.0
285,4.0,3.0,0.37,18324.0,2218.0,2021-01-05,350000.0
299,3.0,2.0,0.27,18328.0,1550.0,2022-01-06,229900.0
307,2.0,1.0,0.12,18337.0,448.0,2020-10-16,50000.0
312,3.0,2.0,0.3,18302.0,1450.0,2021-07-29,189900.0
325,3.0,2.0,1.13,18324.0,1456.0,2019-09-27,239900.0
326,2.0,1.0,0.29,18302.0,1364.0,2021-03-02,169900.0
328,3.0,2.0,0.54,18428.0,1500.0,2020-10-20,289000.0
334,3.0,2.0,0.68,18337.0,1728.0,2019-10-04,349000.0
340,3.0,3.0,0.02,18324.0,2156.0,2019-07-08,299000.0
345,2.0,2.0,0.05,18324.0,1050.0,2016-02-03,122000.0
347,4.0,3.0,0.6,18324.0,2457.0,2017-05-30,425000.0
349,3.0,2.0,0.2,18337.0,1860.0,2020-07-09,319000.0
350,4.0,3.0,1.13,18337.0,2038.0,2020-12-29,449000.0
359,3.0,3.0,0.81,18324.0,2536.0,2016-08-30,300000.0
360,3.0,2.0,0.69,18328.0,3540.0,2018-06-06,249900.0
362,3.0,3.0,0.3,18302.0,3214.0,2017-08-08,299999.0
363,3.0,3.0,0.29,18328.0,1920.0,2019-05-24,229000.0
364,3.0,2.0,1.06,18337.0,3872.0,2016-12-06,389900.0
365,2.0,1.0,1.13,18337.0,2399.0,2021-07-19,249900.0
366,3.0,2.0,0.21,18343.0,1752.0,2016-12-30,349900.0
370,4.0,3.0,1.32,18328.0,3520.0,2021-03-09,415000.0
376,4.0,2.0,0.44,18324.0,2190.0,2018-03-20,229999.0
377,3.0,2.0,0.45,18324.0,2100.0,2020-12-23,219000.0
379,4.0,4.0,0.56,18324.0,3072.0,2020-06-26,414000.0
384,3.0,2.0,0.12,18336.0,2619.0,2019-11-22,284900.0
392,3.0,1.0,0.81,18337.0,2640.0,2017-11-08,249000.0
395,2.0,2.0,0.05,18324.0,1028.0,2019-10-03,159000.0
397,3.0,3.0,0.68,18302.0,2240.0,2017-11-22,259999.0
399,4.0,3.0,0.88,18324.0,2929.0,2019-11-18,429990.0
